journal_title	domain
Behavioral Sleep Medicine	SSH
Political Theory	SSH
Zeszyty Naukowe Państwowej Wyższej Szkoły Zawodowej im. Witelona w Legnicy	Unknown or multidisciplinary
Educational Sciences: Theory & Practice	SSH
Integrative Psychological and Behavioral Science	SSH
Journal of Student Research	Unknown or multidisciplinary
SSRN Electronic Journal	Unknown or multidisciplinary
Academy of Management Proceedings	STEM
lnternational Electronic Journal of Elementary Education	SSH
Alzheimer's & Dementia	STEM
The Scientific World JOURNAL	STEM
International Journal of Environmental Research and Public Health	STEM
Autism	Unknown or multidisciplinary
Discourse, Context & Media	SSH
Cuadernos de Trabajo Social	SSH
Archives of Nursing Practice and Care	STEM
Iranian Journal of Psychiatry and Behavioral Sciences	SSH
Merrill-Palmer Quarterly	Unknown or multidisciplinary
Applied Ergonomics	Unknown or multidisciplinary
The Gerontologist	Unknown or multidisciplinary
Health & Place	STEM
The Explicator	Unknown or multidisciplinary
International Journal of Asian Education	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
European Journal of Public Health	STEM
Ageing and Society	SSH
Lecture Notes in Education Psychology and Public Media	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Brain Sciences	STEM
Social Inclusion	SSH
Korean Security Science Review	SSH
Innovation in Aging	SSH
Psychological Reports	SSH
Innovation in Aging	SSH
Culture and Politics	SSH
Lecture Notes in Education Psychology and Public Media	SSH
Journal of Advance Research in Science and Social Science	SSH
Innovation in Aging	SSH
International Journal of Behavioral Medicine	SSH
Psikoborneo: Jurnal Ilmiah Psikologi	SSH
Adaptive Behavior	SSH
PsyCh Journal	SSH
Social Science & Medicine	SSH
Catholic Pedagogy	SSH
Academy of Management Journal	STEM
Family Upbringing	SSH
European Journal of Ageing	SSH
Tourism and Hospitality Research	STEM
Psychiatry Research	SSH
European Journal of Ageing	SSH
Epidemiology and Psychiatric Sciences	SSH
Eating Disorders	STEM
Creativity Research Journal	Unknown or multidisciplinary
European Psychiatry	SSH
Telematics and Informatics	Unknown or multidisciplinary
The World Journal of Biological Psychiatry	SSH
Philologia	SSH
Topoi	Unknown or multidisciplinary
International Journal of Engineering & Technology	STEM
International Journal of Palliative Nursing	STEM
Innovation in Aging	SSH
International Journal of English Linguistics	SSH
Journal of community welfare	SSH
Bisma The Journal of Counseling	SSH
المجلة الأوربية لتكنولوجيا علوم الرياضة	Unknown or multidisciplinary
Innovation in Aging	SSH
Journal of Depression and Anxiety	SSH
East African Scholars Journal of Medical Sciences	STEM
Journal of Depression and Anxiety	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Psychology of China	SSH
Journal of Ambient Intelligence and Smart Environments	Unknown or multidisciplinary
Revija za sociologiju	SSH
Frontiers in Psychiatry	SSH
PLoS ONE	Unknown or multidisciplinary
Drug and Alcohol Dependence	Unknown or multidisciplinary
Journal of Clinical Sport Psychology	SSH
Current Psychology	SSH
Topoi	Unknown or multidisciplinary
School Psychology International	SSH
Issues in Mental Health Nursing	STEM
Disability and Rehabilitation	Unknown or multidisciplinary
Computers in Human Behavior	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Cognitive Neuropsychiatry	SSH
The Lancet Psychiatry	SSH
Ageing and Society	SSH
Journal of Human Sport and Exercise	Unknown or multidisciplinary
Business Management and Strategy	STEM
Journal of Affective Disorders Reports	STEM
PLOS ONE	Unknown or multidisciplinary
Current Psychology	SSH
Current Biology	STEM
Journal of Aging and Health	SSH
Current Opinion in Psychology	SSH
British Journal of General Practice	Unknown or multidisciplinary
Innovation in Aging	SSH
Online Türk Sağlık Bilimleri Dergisi	Unknown or multidisciplinary
Nephrology Nursing Journal	STEM
Polylinguality and Transcultural Practices	SSH
Global Business Review	STEM
Scientific Reports	STEM
Nursing Older People	STEM
Innovation in Aging	SSH
Academy of Management Proceedings	STEM
Center for Educational Policy Studies Journal	SSH
Frontiers in Psychology	SSH
Innovation in Aging	SSH
Conseils : Jurnal Bimbingan dan Konseling Islam	Unknown or multidisciplinary
Learning Community-An International Journal of Educational and Social Development	SSH
Personal Relationships	SSH
Van Medical Journal	STEM
Health Psychology Report	SSH
American Journal of Physical Medicine & Rehabilitation	STEM
Cyberpsychology, Behavior, and Social Networking	SSH
Innovation in Aging	SSH
Ageing and Society	SSH
Academy of Management Proceedings	STEM
Psychiatric News	SSH
Chinese Management Studies	SSH
Frontiers in Pharmacology	STEM
Romanian Journal of Communication and Public Relations	SSH
Current Psychology	SSH
International Journal of Intercultural Relations	SSH
Innovation in Aging	SSH
Journal of Austrian Studies	SSH
Media Asia	SSH
Jurnal Psikologi Teori dan Terapan	SSH
OBM Neurobiology	STEM
Psychological Reports	SSH
Culture, Health & Sexuality	SSH
CAUSALITA : Journal Of Psychology	SSH
Applied Research in Quality of Life	SSH
BMC Psychiatry	SSH
Social Indicators Research	SSH
Social Networks	SSH
British Journal of Cardiac Nursing	STEM
Personality and Individual Differences	Unknown or multidisciplinary
Psychosis	SSH
Medicine	STEM
Feminist Theory	SSH
The Journals of Gerontology: Series B	Unknown or multidisciplinary
BMC Psychiatry	SSH
Computers in Human Behavior	SSH
Clinical and Experimental Health Sciences	STEM
E3S Web of Conferences	Unknown or multidisciplinary
European Journal of Behavioral Sciences	SSH
Korean Journal of Converging Humanities	SSH
OlymPlus. Гуманитарная версия	Unknown or multidisciplinary
British Journal of Community Nursing	SSH
EARLY CHILDHOOD EDUCATION & CARE	SSH
Developing World Bioethics	Unknown or multidisciplinary
International Journal of Educational Reform	SSH
Korean Journal of Health Psychology	SSH
Psychoneuroendocrinology	SSH
Archives of Community Medicine and Public Health	SSH
Nursing Ethics	STEM
Public Policy & Aging Report	SSH
The Lancet Planetary Health	STEM
European Journal of Public Health	STEM
Open Journal of Medical Psychology	SSH
St. Petersburg State Polytechnical University Journal. Humanities and Social Sciences	SSH
PHILOLOGICAL STUDIES	SSH
Applied Nursing Research	STEM
Innovation in Aging	SSH
Social Work & Christianity	SSH
Psychological Reports	SSH
Academic Psychiatry	SSH
JAMA Health Forum	STEM
Istoricheskii vestnik	Unknown or multidisciplinary
Journal of Development and Social Sciences	SSH
COVID	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Procedia - Social and Behavioral Sciences	SSH
Theoretical & Applied Science	SSH
Academy of Management Proceedings	STEM
International Journal of Health Services Research and Policy	STEM
Academy of Management Proceedings	STEM
Applied Family Therapy Journal	SSH
European Journal of Public Health	STEM
European Journal of Public Health	STEM
Journal of Clinical Nursing	STEM
International Journal of Contemporary Management	STEM
JOURNAL OF LANGUAGE STUDIES	SSH
Journal of Modern Jewish Studies	SSH
International Journal of Geriatric Psychiatry	SSH
Journal of the Pakistan Medical Association	STEM
Current Psychology	SSH
European Journal of Marketing	STEM
Journal of Graduate Medical Education	SSH
Computers in Human Behavior Reports	SSH
Journal of Youth and Adolescence	Unknown or multidisciplinary
International Psychogeriatrics	SSH
BMC Geriatrics	STEM
British Journal of General Practice	Unknown or multidisciplinary
Innovation in Aging	SSH
Evidence Based Nursing	STEM
Interactive science	STEM
Advances in Psychology	SSH
Moscow Economic Journal	STEM
The Gerontologist	Unknown or multidisciplinary
East African Scholars Journal of Medical Sciences	STEM
Pakistan Journal of Medical and Health Sciences	STEM
Applied Family Therapy Journal	SSH
Pacific Historical Review	SSH
Clinical Social Work and Health Intervention	SSH
SHS Web of Conferences	Unknown or multidisciplinary
Innovation in Aging	SSH
Psychological Reports	SSH
South Asian Review	Unknown or multidisciplinary
PARAFRASE : Jurnal Kajian Kebahasaan & Kesastraan	Unknown or multidisciplinary
European Psychiatry	SSH
Journal of Child and Adolescent Behaviour	SSH
Indian Journal of Mental Health(IJMH)	STEM
Frontiers in Psychology	SSH
Journal of Gerontological Social Work	SSH
Innovation in Aging	SSH
Quality & Quantity	SSH
Behavioral Sciences	SSH
Psychological Research and Intervention	SSH
Age and Ageing	SSH
Medicine Science | International Medical Journal	STEM
Journal of Pakistan Psychiatric Society	SSH
Value in Health	STEM
The Lancet Healthy Longevity	STEM
Frontiers in Psychology	SSH
English Language and Literature	SSH
Canadian Journal on Aging / La Revue canadienne du vieillissement	SSH
Alzheimer's & Dementia	STEM
JAMA Health Forum	STEM
American Journal of Pharmaceutical Education	SSH
World Social Psychiatry	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Personality and Individual Differences	Unknown or multidisciplinary
Global Business Review	STEM
Current Psychology	SSH
PLOS ONE	Unknown or multidisciplinary
FPOP Bulletin: Psychology of Older People	SSH
The Journals of Gerontology: Series B	Unknown or multidisciplinary
Innovation in Aging	SSH
Journal of Palliative Medicine	STEM
European Heart Journal	Unknown or multidisciplinary
Journal of Psychiatry and Brain Science	SSH
Children	SSH
Journal of Multidisciplinary Healthcare	STEM
Open Journal of Social Sciences	SSH
Current Psychology	SSH
Social Development	SSH
The Psychoanalytic Study of the Child	SSH
Psychiatry Research	SSH
Contemporary Educational Technology	SSH
Asian Journal of Psychiatry	SSH
Mental Health and Social Inclusion	SSH
Turkish Journal of Family Medicine & Primary Care	SSH
ZER - Revista de Estudios de Comunicación	Unknown or multidisciplinary
BMC Public Health	STEM
European Psychologist	SSH
Psychodynamic Practice	SSH
European Journal of Philosophy	SSH
Innovation in Aging	SSH
TAF Preventive Medicine Bulletin	STEM
J. of Health Science	STEM
Innovation in Aging	SSH
Sustainability	Unknown or multidisciplinary
Practice	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Psychological Reports	SSH
Innovation in Aging	SSH
Alternative and Complementary Therapies	SSH
European Journal of Public Health	STEM
Innovation in Aging	SSH
Innovation in Aging	SSH
THE TURKISH ONLINE JOURNAL OF DESIGN ART AND COMMUNICATION	SSH
Innovation in Aging	SSH
Journal of Homosexuality	Unknown or multidisciplinary
NeuroReport	STEM
International Journal of Research Studies in Psychology	SSH
Frontiers in Psychology	SSH
Educational Gerontology	SSH
Journal of Affective Disorders	STEM
Applied Family Therapy Journal	SSH
Frontiers in Psychology	SSH
Caring for the Ages	Unknown or multidisciplinary
Pushkin Leningrad State University Journal	Unknown or multidisciplinary
Healthcare	STEM
Comprehensive Psychiatry	SSH
The Journal for Nurse Practitioners	STEM
Middle East Current Psychiatry	SSH
Demographic Research	STEM
FPOP Bulletin: Psychology of Older People	SSH
Psychiatry International	SSH
Computers & Education	SSH
International Journal of Progressive Education	SSH
Aging Clinical and Experimental Research	SSH
Sustainability	Unknown or multidisciplinary
Supportive Care in Cancer	Unknown or multidisciplinary
New England Journal of Medicine	STEM
Health Communication	SSH
Psique	Unknown or multidisciplinary
Industrial and Organizational Psychology	SSH
Journal of Bone and Joint Surgery	Unknown or multidisciplinary
Innovation in Aging	SSH
Journal of Depression and Anxiety	SSH
International Journal of Educational Research Review	SSH
European Geriatric Medicine	STEM
European Psychiatry	SSH
Psychoneuroendocrinology	SSH
Menoufia Nursing Journal	STEM
American Journal of Applied Psychology	SSH
Journal of the American Psychoanalytic Association	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
Avicenna Journal of Neuro Psycho Physiology	SSH
ANAPHORA: Journal of Language, Literary and Cultural Studies	SSH
The American Journal of Geriatric Psychiatry	SSH
Western Journal of Communication	SSH
European Psychiatry	SSH
Innovation in Aging	SSH
Archives of Internal Medicine	STEM
Counsellia: Jurnal Bimbingan dan Konseling	SSH
International Journal of Adolescent Medicine and Health	STEM
European Societies	Unknown or multidisciplinary
Industrial and Commercial Training	STEM
Public Health	STEM
International Journal of Research Studies in Education	SSH
European Journal of Ageing	SSH
Urban Science	STEM
Aging & Mental Health	SSH
Psychiatry Research	SSH
Neurology	STEM
Disability and Rehabilitation	Unknown or multidisciplinary
JMIR Aging	SSH
Behaviour Change	SSH
Developmental Psychology	SSH
Geriatrics	STEM
Archives of Psychiatric Nursing	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Journal of Public Mental Health	STEM
Journal of Positive School Psychology	SSH
Journal of Stress, Trauma, Anxiety, and Resilience	Unknown or multidisciplinary
Computers in Human Behavior	SSH
Computers in Human Behavior	SSH
Current Addiction Reports	Unknown or multidisciplinary
International Journal of Palliative Nursing	STEM
International Psychogeriatrics	SSH
Current Psychology	SSH
Nursing and Residential Care	STEM
Procedia - Social and Behavioral Sciences	SSH
Jurnal Ilmiah Bimbingan Konseling Undiksha	Unknown or multidisciplinary
Innovation in Aging	SSH
Journal of Adolescence	Unknown or multidisciplinary
Review of European Studies	SSH
i-manager’s Journal on Nursing	STEM
Innovation in Aging	SSH
Paedagogia Christiana	Unknown or multidisciplinary
SLEEP Advances	Unknown or multidisciplinary
JMIR Mental Health	STEM
Journal of the Chosun Natural Science	STEM
Innovation in Aging	SSH
BMC Public Health	STEM
Anatolian Journal of Psychiatry	SSH
Universa Medicina	STEM
Innovation in Aging	SSH
Innovation in Aging	SSH
Australian Journal of Psychology	SSH
Journal of Public Health	STEM
Open Journal of Preventive Medicine	STEM
Psychiatry Research	SSH
Korean Journal of Child Studies	SSH
Sağlık Akademisi Kastamonu	Unknown or multidisciplinary
New Formations	Unknown or multidisciplinary
Computers in Human Behavior	SSH
Healthcare	STEM
Sinop Üniversitesi Sosyal Bilimler Dergisi	Unknown or multidisciplinary
Current Psychology	SSH
Current Psychology	SSH
The Gerontologist	Unknown or multidisciplinary
SSM - Mental Health	STEM
Social Inclusion	SSH
Health and Social Welfare Review	SSH
Journal of Hospital Librarianship	Unknown or multidisciplinary
Acta Psychologica	SSH
Journal of Counseling Research	SSH
Jurnal Muara Ilmu Sosial, Humaniora, dan Seni	Unknown or multidisciplinary
Ageing International	SSH
European Journal of Public Health	STEM
Lviv University Herald. Series: Psychological sciences	SSH
Musicology Australia	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
Journal of Individual Differences	Unknown or multidisciplinary
Procedia - Social and Behavioral Sciences	SSH
The Southern Journal of Philosophy	SSH
Hamidiye Medical Journal	STEM
Journal of Managerial Psychology	SSH
Journal of Correctional Issues	Unknown or multidisciplinary
Innovation in Aging	SSH
Procedia - Social and Behavioral Sciences	SSH
Psychology of Woman Journal	SSH
Open Journal of Nursing	STEM
Personality and Individual Differences	Unknown or multidisciplinary
Population Medicine	STEM
International Journal of Islamic Educational Psychology	SSH
Bangladesh Journal of Public Administration	STEM
Chelovek	Unknown or multidisciplinary
Health Promotion International	STEM
The „Black Sea” Journal of Psychology	SSH
The Gerontologist	Unknown or multidisciplinary
Istanbul Research Institute	Unknown or multidisciplinary
Toplum ve Sosyal Hizmet	Unknown or multidisciplinary
Global Health Action	STEM
Management Research Review	STEM
Pharmaceutical Science and Technology	STEM
Ageing International	SSH
Al-Adab Journal	Unknown or multidisciplinary
Social Science & Medicine	SSH
Healthcare	STEM
Computers & Education	SSH
International Psychogeriatrics	SSH
Research on Aging	SSH
Reviews in Clinical Gerontology	STEM
Communication Quarterly	SSH
Frontiers in Psychology	SSH
Child Development Perspectives	SSH
International Journal of Social Psychiatry	SSH
Journal of Advanced Nursing	STEM
Innovation in Aging	SSH
Assessment	Unknown or multidisciplinary
Journal of History Culture and Art Research	SSH
English and American Studies in German	SSH
New Review of Film and Television Studies	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Cultural Landscape Insights	SSH
International Psychogeriatrics	SSH
Visnyk of the Lviv University	Unknown or multidisciplinary
Innovation in Aging	SSH
Nursing and Residential Care	STEM
Journal of Personality and Social Psychology	SSH
International Journal of Education and Cognitive Sciences	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Vestnik of Saint Petersburg University. Asian and African Studies	SSH
International Journal of Psychological Research and Reviews	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Psychology, Health & Medicine	SSH
Innovation in Aging	SSH
Asian Journal of Research in Social Sciences and Humanities	SSH
Frontiers in Aging Neuroscience	SSH
International Journal of Indian Psychology	SSH
Practice Nursing	STEM
Lingua Cultura	SSH
Frontiers in Psychology	SSH
Innovation in Aging	SSH
Indian Journal of Mental Health(IJMH)	STEM
The Qualitative Report	SSH
Anatolian Journal of Psychiatry	SSH
Education and Information Technologies	SSH
Indian Journal of Social Psychiatry	SSH
Health Policy	STEM
Вестник Пермского университета. Философия. Психология. Социология	Unknown or multidisciplinary
Healthcare	STEM
Personnel Review	Unknown or multidisciplinary
Emotion, Space and Society	SSH
Obesity Facts	Unknown or multidisciplinary
Personality and Individual Differences	Unknown or multidisciplinary
Journal of Planning Literature	SSH
Stress	Unknown or multidisciplinary
BMC Public Health	STEM
International Journal of Social Psychiatry	SSH
European Journal of Ageing	SSH
Przegląd Badań Edukacyjnych	Unknown or multidisciplinary
Nursing Open	STEM
Al-Anbar University Journal For Humanities	SSH
Annals of Nursing	STEM
Family Medicine & Primary Care Review	SSH
Kocaeli Medical Journal	STEM
International Journal of Indian Psychology	SSH
Australian Journal of Psychology	SSH
Verbum et Ecclesia	Unknown or multidisciplinary
Health	STEM
Family Science	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Korean Journal of Social Welfare	SSH
Balıkesir Üniversitesi Sosyal Bilimler Enstitüsü Dergisi	Unknown or multidisciplinary
Psychogeriatrics	SSH
Journal of Population Ageing	SSH
The Annals of Family Medicine	SSH
ELLA - utdanning, litteratur, språk	Unknown or multidisciplinary
Psychoneuroendocrinology	SSH
SLEEP	Unknown or multidisciplinary
School Psychology International	SSH
New Trends and Issues Proceedings on Humanities and Social Sciences	SSH
Healthcare	STEM
Aggression and Violent Behavior	SSH
PLOS ONE	Unknown or multidisciplinary
Korean Journal of Youth Studies	SSH
Journal of Offender Rehabilitation	Unknown or multidisciplinary
Current Psychology	SSH
The Psychoanalytic Review	SSH
Heart	Unknown or multidisciplinary
Journal of Aging Studies	SSH
International Journal of Community Well-Being	SSH
GeroPsych	SSH
Sociological Inquiry	SSH
Jurnal Intelektualita: Keislaman, Sosial dan Sains	Unknown or multidisciplinary
Jurnal Ilmiah Ilmu Terapan Universitas Jambi|JIITUJ|	Unknown or multidisciplinary
Motivation and Emotion	Unknown or multidisciplinary
European Journal of Public Health	STEM
Self and Identity	Unknown or multidisciplinary
The psychology of woman journal	SSH
International Journal of Environmental Research and Public Health	STEM
Social Behavior and Personality: an international journal	SSH
Psychiatry Research	SSH
Humanities and Social Sciences Communications	SSH
Mediterranean Journal of Social Sciences	SSH
International Journal of Environmental Research and Public Health	STEM
Behaviour & Information Technology	SSH
Merrill-Palmer Quarterly	Unknown or multidisciplinary
European Journal of Public Health	STEM
European Journal of Public Health	STEM
Palliative and Supportive Care	STEM
Health Psychology Review	SSH
Psychology and Aging	SSH
Procedia - Social and Behavioral Sciences	SSH
Archives of Gerontology and Geriatrics	STEM
Current Psychology	SSH
Journal of Architecture and Planning (Transactions of AIJ)	Unknown or multidisciplinary
Assessment and research in counseling and psychology	SSH
Innovation in Aging	SSH
Journal Of Organizational Behavior Research	SSH
Innovation in Aging	SSH
Journal of Constructivist Psychology	SSH
International Journal of Environmental Research and Public Health	STEM
Age and Ageing	SSH
Illness, Crisis & Loss	Unknown or multidisciplinary
e-International Journal of Educational Research	SSH
Journal of Humanities, Arts and Social Science	SSH
Innovation in Aging	SSH
Estudios sobre Educación	Unknown or multidisciplinary
Psihologija	Unknown or multidisciplinary
Trabajo Social Hoy	SSH
European Psychiatry	SSH
Frontiers in Aging Neuroscience	SSH
FINANCIAL PLANNING REVIEW	Unknown or multidisciplinary
European Journal of Public Health	STEM
Child and Adolescent Psychiatry and Mental Health	SSH
The Journal of Educational Research	SSH
Journal of Personality and Social Psychology	SSH
Çocuk ve Gelişim Dergisi	Unknown or multidisciplinary
Sexual Addiction & Compulsivity	Unknown or multidisciplinary
Intellectual and Developmental Disabilities	SSH
Industrial Psychiatry Journal	SSH
Scandinavian Journal of Psychology	SSH
Psychogeriatrics	SSH
Psychiatry Research	SSH
Current Opinion in Supportive & Palliative Care	STEM
Global Health Research and Policy	STEM
International Psychogeriatrics	SSH
International Journal of Educational Management	SSH
International Psychogeriatrics	SSH
Journal of Health Psychology	SSH
Psychological Reports	SSH
The Journal of Psychology	SSH
Biological Psychology	SSH
Acta Psychologica Sinica	SSH
J. of Health Science	STEM
Anthropology Southern Africa	SSH
Rehabilitation Nursing	STEM
Innovation in Aging	SSH
Journal of Holistic Nursing	STEM
RAM. Revista de Administração Mackenzie	STEM
Innovation in Aging	SSH
Psychological Reports	SSH
International Journal of Swarm Intelligence and Evolutionary Computation	STEM
Jurnal Psikologi Wijaya Putra (Psikowipa)	SSH
Applied Research in Quality of Life	SSH
ADVANCE RESEARCH JOURNAL OF SOCIAL SCIENCE	SSH
Pakistan Postgraduate Medical Journal	STEM
Innovation in Aging	SSH
Innovation in Aging	SSH
Journal of  Social Science	SSH
Innovation in Aging	SSH
Egyptian Journal of Health Care	STEM
International Journal of Higher Education	SSH
Academy of Management Proceedings	STEM
Pajouhan Scientific Journal	STEM
KnE Social Sciences	SSH
Indonesian Journal of Islamic Education Studies (IJIES)	SSH
Social Science Information	SSH
Pressacademia	Unknown or multidisciplinary
Journal of Social Research and Behavioral Sciences	SSH
BMC Public Health	STEM
The Korean Data Analysis Society	SSH
Computers in Human Behavior	SSH
Australian Health Review	STEM
Pan African Medical Journal	STEM
Eskiyeni	Unknown or multidisciplinary
Psychoradiology	SSH
The European Journal of Counselling Psychology	SSH
Journal of Nursing Management	STEM
Sexual Abuse	Unknown or multidisciplinary
Disability and Health Journal	STEM
International Journal of Academic Research in Business and Social Sciences	SSH
Rehabilitation Medicine	STEM
The International Journal of Psychoanalysis	SSH
International Journal of Behavioral Consultation and Therapy	SSH
Apollo Medicine	STEM
Personality and Individual Differences	Unknown or multidisciplinary
Open Journal of Depression	SSH
Frontiers in Psychology	SSH
BMC Psychology	SSH
American Journal of Epidemiology	STEM
JMIR mHealth and uHealth	STEM
Hacettepe University Journal of Education	SSH
International Journal of Indian Psychology	SSH
International Journal of Academic Research	Unknown or multidisciplinary
Университетский научный журнал	Unknown or multidisciplinary
Folia linguistica et litteraria	SSH
Journal of Contemporary Educational Research	SSH
Law, Culture and the Humanities	SSH
International Journal of Geriatric Psychiatry	SSH
European Journal of Public Health	STEM
Indonesian Journal of Community Health Nursing	SSH
Social'naja politika i social'noe partnerstvo (Social Policy and Social Partnership)	SSH
Journal of Cultural Analysis and Social Change	SSH
Bulletin of Counseling and Psychotherapy	SSH
Personal Relationships	SSH
The Arab Journal of Scientific Research	STEM
Academic Perspective Procedia	Unknown or multidisciplinary
Journal of the American Geriatrics Society	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Indian Journal of Psychiatry	SSH
Journal of Mind and Medical Sciences	SSH
Journal of Adolescence	Unknown or multidisciplinary
Journal of Aging Studies	SSH
Interdisciplinary Studies in Literature and Environment	SSH
Australian Journal of Psychology	SSH
Applied Economics Letters	STEM
International Journal of Research in Education and Science	SSH
The American Journal of Occupational Therapy	SSH
Geriatric Nursing	STEM
SAGE Open Nursing	STEM
Personality and Social Psychology Bulletin	SSH
Transcultural Psychiatry	SSH
Ageing and Society	SSH
Psychoneuroendocrinology	SSH
Frontiers in Public Health	STEM
Archives of Gerontology and Geriatrics	STEM
Sustainability	Unknown or multidisciplinary
PLOS ONE	Unknown or multidisciplinary
European Journal of Public Health	STEM
Psychoneuroendocrinology	SSH
Archives of Psychiatric Nursing	SSH
Innovation in Aging	SSH
Sociology and Anthropology	SSH
International Journal of Pharmaceutical Research	STEM
International Journal of Indian Psychology	SSH
European Journal of Cardiovascular Nursing	STEM
Academy of Management Proceedings	STEM
African Journal of Hospitality, Tourism and Leisure	STEM
Innovation in Aging	SSH
The Counseling Psychologist	SSH
Journal of Lesbian Studies	SSH
Technology in Society	SSH
Innovation in Aging	SSH
International Journal of Nursing Education	SSH
Journal of the American Medical Directors Association	STEM
Management Research Review	STEM
Psychogeriatrics	SSH
Georgetown Scientific Research Journal	STEM
SSRN Electronic Journal	Unknown or multidisciplinary
International Journal of Mental Health Promotion	STEM
Frontiers in Psychology	SSH
Transcultural Psychiatry	SSH
European Review of Applied Psychology	SSH
International Journal of Social Science Studies	SSH
Journal of Aging and Physical Activity	SSH
Current Psychology	SSH
Behaviour Change	SSH
Frontiers in Psychology	SSH
Current Research in Behavioral Sciences	SSH
Frontiers in Psychology	SSH
Current Psychology	SSH
Sociological Inquiry	SSH
Psychiatry Research	SSH
Social Behavior and Personality: an international journal	SSH
International Psychogeriatrics	SSH
Aging & Mental Health	SSH
Frontiers in Public Health	STEM
International Psychogeriatrics	SSH
Innovation in Aging	SSH
The Proceedings of the Annual Convention of the Japanese Psychological Association	SSH
Nursing and Health Sciences Journal (NHSJ)	STEM
Psychology Research and Behavior Management	SSH
Telaah Bisnis	Unknown or multidisciplinary
Journal of adapted physical activity and exercise	STEM
Acta de Investigación Psicológica	SSH
Innovation in Aging	SSH
Current Psychology	SSH
Gerontology and Geriatric Medicine	STEM
Swiss Journal of Psychology	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Gerontechnology	STEM
Perspectives in Public Health	STEM
The Counseling Psychologist	SSH
Social Indicators Research	SSH
Innovation in Aging	SSH
Psychological Reports	SSH
Innovation in Aging	SSH
Social Science & Medicine	SSH
Ageing and Society	SSH
ISGUC The Journal of Industrial Relations and Human Resources	SSH
UCL Open Environment	Unknown or multidisciplinary
Journal of Educational & Psychological Sciences	SSH
Успехи геронтологии	Unknown or multidisciplinary
Innovation in Aging	SSH
Acta Psychologica Sinica	SSH
Innovation in Aging	SSH
Open Journal of Social Sciences	SSH
Social Work with Groups	SSH
Psychiatric Quarterly	SSH
Innovation in Aging	SSH
International Journal of Psychological and Brain Sciences	SSH
Archive for the Psychology of Religion	SSH
Frontiers in Psychiatry	SSH
Journal of Intergenerational Relationships	SSH
Journal of Sociology	SSH
Journal of Family Violence	SSH
Health Communication	SSH
Ageing and Society	SSH
Journal of Emotion and Psychopathology	SSH
Current Psychology	SSH
Journal of Geriatric Mental Health	STEM
European Psychiatry	SSH
Death Studies	SSH
Quality in Ageing and Older Adults	SSH
Exchanges: The Interdisciplinary Research Journal	Unknown or multidisciplinary
Journal of Humanities, Arts and Social Science	SSH
Innovation in Aging	SSH
Asy-Syifa : Journal of Science and Technology Nursing	STEM
Indian Journal of Mental Health(IJMH)	STEM
Socio-Economic Review	SSH
Behavioral and Brain Sciences	SSH
Biopsikososial: Jurnal Ilmiah Psikologi  Fakultas Psikologi Universitas Mercubuana Jakarta	SSH
Monumenta Nipponica	Unknown or multidisciplinary
Journal of Population Ageing	SSH
Academy of Management Proceedings	STEM
International Journal for Human Caring	Unknown or multidisciplinary
Neuroscience Applied	STEM
Healthcare Informatics Research	STEM
Current Directions in Psychological Science	SSH
Addictive Behaviors	SSH
Journal of Turkish Studies	SSH
Journal of Community Psychology	SSH
Universal Journal of Educational Research	SSH
Innovation in Aging	SSH
Stress	Unknown or multidisciplinary
Australian Economic Review	STEM
European Journal of Ageing	SSH
Journal of Nursing Measurement	STEM
Journal of Adolescent and Youth Psychological Studies	SSH
International Journal of Human Caring	Unknown or multidisciplinary
Korean Journal of Art Therapy	SSH
European Journal of Oncology Nursing	STEM
Journal of Bioethical Inquiry	Unknown or multidisciplinary
Lit: Literature Interpretation Theory	SSH
The Korea Journal of Youth Counseling	SSH
Perspectives in Psychiatric Care	SSH
Geriatric Nursing	STEM
Social Work in Health Care	SSH
Family and Environment Research	SSH
Ageing and Society	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Applied Psychology	SSH
AIDS Care	STEM
Psychiatry Research	SSH
Social Behavior and Personality: an international journal	SSH
Practical Theology	SSH
Anthrozoös	Unknown or multidisciplinary
Sociology of Sport Journal	SSH
Educational Gerontology	SSH
Applied Psychology: Health and Well-Being	SSH
